4,24,18,8.92,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
4,24,24,8.92,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
4,24,30,8.92,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
6,28,18,11.15,246,194,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
6,28,24,11.15,246,194,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
6,28,30,11.15,214,169,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
8,32,18,13.38,192,151,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
8,32,24,13.38,192,151,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
8,32,30,13.38,161,127,242,191,250,197,250,197,250,197,250,197,250,197,250,197,250,197
10,36,18,14.86,160,126,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
10,36,24,14.86,158,125,237,187,250,197,250,197,250,197,250,197,250,197,250,197,250,197
10,36,30,14.86,129,102,194,153,250,197,250,197,250,197,250,197,250,197,250,197,250,197
12,36,18,17.83,133,105,250,197,250,197,250,197,250,197,250,197,250,197,250,197,250,197
12,36,24,17.83,131,104,197,156,250,197,250,197,250,197,250,197,250,197,250,197,250,197
12,36,30,17.83,108,85,161,127,215,170,250,197,250,197,250,197,250,197,250,197,250,197
16,36,18,23.78,100,79,189,149,236,186,250,197,250,197,250,197,250,197,250,197,250,197
16,36,24,23.78,99,78,148,117,197,156,246,195,250,197,250,197,250,197,250,197,250,197
16,36,30,23.78,81,64,121,96,161,127,202,159,242,191,250,197,250,197,250,197,250,197
20,36,18,29.72,80,63,152,120,203,160,250,197,250,197,250,197,250,197,250,197,250,197
20,36,24,29.72,79,62,118,93,158,125,197,156,237,187,250,197,250,197,250,197,250,197
20,36,30,29.72,65,51,97,76,129,102,161,127,194,153,226,178,250,197,250,197,250,197
25,42,18,31.58,67,53,121,96,162,128,198,156,226,179,250,197,250,197,250,197,250,197
25,42,24,31.58,63,50,94,74,126,99,157,124,189,149,220,174,250,197,250,197,250,197
25,42,30,31.58,51,41,77,61,103,81,129,102,154,122,180,142,206,163,232,183,250,197
30,48,18,33.44,58,46,102,80,132,104,154,121,176,139,198,156,220,173,242,191,250,197
30,48,24,33.44,53,42,79,62,105,83,131,104,158,125,184,145,210,166,237,187,250,197
30,48,30,33.44,43,34,65,51,86,68,108,85,129,102,151,119,172,136,194,153,215,170
40,48,18,35.67,46,36,76,60,102,80,120,95,138,109,155,122,172,136,189,149,207,163
40,48,24,35.67,39,31,59,47,79,62,99,78,118,93,138,109,158,125,177,140,197,156
40,48,30,35.67,32,25,48,38,65,51,81,64,97,76,113,89,129,102,145,115,161,127
50,60,18,37.90,38,30,58,46,70,55,82,65,93,74,105,83,117,92,128,101,140,111
50,60,24,37.90,32,25,47,37,63,50,79,62,93,74,105,83,117,92,128,101,140,111
50,60,30,37.90,26,20,39,31,52,41,65,51,78,61,90,71,103,82,116,92,129,102
